,R
0,309
1,503
2,977
3,1315
4,1651
5,1971
6,2294
7,2488
8,2956
9,3296
10,3613
11,3923
12,4257
13,4448
14,4906
15,5239
16,5552
17,5882
18,6210
19,6521
20,6864
21,7200
22,7512
23,7709
24,8178
25,8377
26,8860
27,9052
28,9531
29,9736
30,10194
31,10421
32,10867
33,11065
34,11545
35,11863
36,12186
37,12502
38,12804
39,12999
40,13462
41,13657
42,14120
43,14325
44,14788
45,14981
46,15451
47,15768
48,16080
49,16405
50,16720
51,16908
52,17391
53,17722
54,17913
55,18388
56,18726
57,18921
58,19403
59,19616
60,20104
61,20437
62,20628
63,21102
64,21296
65,21763
66,21970
67,22411
68,22744
69,23062
70,23381
71,23722
72,24054
73,24406
74,24747
75,25070
76,25263
77,25756
78,26072
79,26402
80,26729
81,27047
82,27366
83,27695
84,27883
85,28371
86,28718
87,29055
88,29376
89,29704
90,29910
91,30386
92,30575
93,31066
94,31262
95,31727
96,32063
97,32375
98,32697
99,33025
100,33344
101,33667
102,34001
103,34329
104,34657
105,34995
106,35338
107,35666
108,36015
109,36354
110,36684
111,37028
112,37356
113,37681
114,38027
115,38353
116,38675
117,39015
118,39340
119,39658
120,39984
121,40300
122,40627
123,40952
124,41278
125,41608
126,41936
127,42126
128,42595
129,42927
130,43249
131,43562
132,43881
133,44206
134,44517
135,44834
136,45029
137,45492
138,45832
139,46160
140,46481
141,46814
142,47132
143,47325
144,47795
145,47991
146,48463
147,48699
148,49148
149,49490
150,49807
151,50003
152,50468
153,50795
154,50985
155,51460
156,51788
157,52115
158,52434
159,52747
160,52941
161,53407
162,53752
163,54079
164,54395
165,54726
166,55047
167,55366
168,55698
169,56019
170,56337
171,56672
172,56986
173,57173
174,57652
175,57971
176,58156
177,58624
178,58943
179,59136
180,59591
181,59790
182,60257
183,60570
184,60753
185,61208
186,61517
187,61845
188,62173
189,62492
190,62688
191,63194
192,63519
193,63716
194,64213
195,64568
196,64761
197,65249
198,65586
199,65776
200,66252
201,66586
202,66782
203,67262
204,67458
205,67935
206,68265
207,68455
208,68915
209,69119
210,69583
211,69787
212,70250
213,70478
214,70931
215,71122
216,71598
217,71799
218,72267
219,72605
220,72928
221,73250
222,73594
223,73923
224,74110
225,74595
226,74799
227,75281
228,75613
229,75932
230,76131
231,76612
232,76807
233,77287
234,77484
235,77956
236,78292
237,78606
238,78941
239,79275
240,79590
241,79924
242,80263
243,80601
244,80940
245,81286
246,81634
247,81823
248,82298
249,82641
250,82960
251,83153
252,83630
253,83825
254,84305
255,84634
256,84939
257,85137
258,85603
259,85798
260,86272
261,86587
262,86783
263,87253
264,87572
265,87769
266,88238
267,88573
268,88767
269,89240
270,89502
271,89948
272,90265
273,90458
274,90936
275,91284
276,91606
277,91918
278,92260
279,92450
280,92919
281,93263
282,93592
283,93919
284,94240
285,94430
286,94908
287,95245
288,95566
289,95881
290,96205
291,96400
292,96878
293,97214
294,97551
295,97872
296,98063
297,98533
298,98724
299,99201
300,99531
301,99846
302,100037
303,100511
304,100832
305,101151
306,101343
307,101812
308,102010
309,102471
310,102684
311,103150
312,103468
313,103659
314,104112
315,104426
316,104621
317,105068
318,105383
319,105595
320,106033
321,106221
322,106700
323,106894
324,107363
325,107575
326,108027
327,108362
328,108554
329,109016
330,109340
331,109531
332,109997
333,110317
334,110506
335,110974
336,111300
337,111488
338,111954
339,112279
340,112471
341,112937
342,113127
343,113599
344,113908
345,114210
346,114525
347,114829
348,115148
349,115477
350,115788
351,115976
352,116458
353,116654
354,117116
355,117441
356,117751
357,117946
358,118412
359,118729
360,118930
361,119391
362,119706
363,119899
364,120354
365,120674
366,120867
367,121310
368,121637
369,121825
370,122267
371,122584
372,122773
373,123230
374,123557
375,123876
376,124190
377,124382
378,124837
379,125033
380,125484
381,125804
382,126112
383,126422
384,126739
385,127047
386,127363
387,127683
388,127991
389,128309
390,128644
391,128957
392,129275
393,129608
394,129921
395,130106
396,130570
397,130763
398,131232
399,131558
400,131865
401,132068
402,132529
403,132722
404,133185
405,133499
406,133688
407,134147
