,R
0,225
1,487
2,689
3,964
4,1147
5,1433
6,1610
7,1882
8,2072
9,2331
10,2506
11,2784
12,2989
13,3300
14,3484
15,3738
16,3975
17,4201
18,4416
19,4646
20,4880
21,5134
22,5381
23,5605
24,5821
25,6087
26,6285
27,6547
28,6718
29,7076
30,7260
31,7455
32,7899
33,8074
34,8394
35,8577
36,8726
37,9170
38,9384
39,9710
40,9963
41,10197
42,10436
43,10673
44,10901
45,11132
46,11361
47,11617
48,11857
49,12159
50,12364
51,12721
52,12900
53,13052
54,13522
55,13733
56,14101
57,14360
58,14538
59,14903
60,15085
61,15410
62,15595
63,15928
64,16195
65,16385
66,16695
67,16880
68,17164
69,17338
70,17666
71,17860
72,18199
73,18383
74,18697
75,18939
76,19128
77,19432
78,19606
79,19915
80,20099
81,20430
82,20641
83,20953
84,21120
85,21390
86,21574
87,21873
88,22057
89,22388
90,22646
91,22880
92,23122
93,23347
94,23602
95,23857
96,24098
97,24341
98,24595
99,24824
100,25102
101,25313
102,25627
103,25795
104,25993
105,26387
106,26595
107,26918
108,27109
109,27474
110,27652
111,28018
112,28203
113,28559
114,28747
115,29108
116,29311
117,29662
118,29896
119,30123
120,30286
121,30597
122,30788
123,31128
124,31323
125,31615
126,31793
127,32095
128,32286
129,32599
130,32770
131,33099
132,33367
133,33637
134,33908
135,34159
136,34408
137,34660
138,34945
139,35234
140,35531
141,35884
142,36087
143,36445
144,36629
145,36994
146,37184
147,37556
148,37789
149,38127
150,38319
151,38635
152,38810
153,39129
154,39319
155,39484
156,39791
157,40200
158,40377
159,40688
160,40889
161,41164
162,41355
163,41732
164,41928
165,42277
166,42542
167,42730
168,43032
169,43212
170,43516
171,43722
172,44063
173,44261
174,44569
175,44756
176,45060
177,45245
178,45569
179,45759
180,46085
181,46270
182,46608
183,46835
184,47027
185,47352
186,47544
187,47857
188,48043
189,48374
190,48710
191,49016
192,49273
193,49553
194,49834
195,50112
196,50385
197,50660
198,50927
199,51197
200,51461
201,51707
202,51954
203,52200
204,52486
205,52784
206,53063
207,53300
208,53541
209,53789
210,54037
211,54289
212,54555
213,54823
214,55070
215,55329
216,55604
217,55845
218,56080
219,56321
220,56571
221,56820
222,57096
223,57375
224,57618
225,57857
226,58096
227,58352
228,58608
229,58878
230,59140
231,59399
232,59649
233,59905
234,60162
235,60402
236,60646
237,60883
238,61148
239,61436
240,61706
241,61947
242,62182
243,62424
244,62671
245,62920
246,63181
247,63444
248,63633
249,63859
250,64209
251,64395
252,64628
253,64936
254,65114
255,65441
256,65638
257,65988
258,66173
259,66478
260,66647
261,66953
262,67155
263,67471
264,67668
265,67997
266,68191
267,68514
268,68701
269,69036
270,69212
271,69532
272,69754
273,70100
274,70307
275,70618
276,70798
277,71086
278,71261
279,71576
280,71819
281,72110
282,72320
283,72612
284,72805
285,73125
286,73309
287,73599
288,73788
289,74094
290,74282
291,74596
292,74853
293,75084
294,75318
295,75517
296,75785
297,76059
298,76333
299,76583
300,76841
301,77100
302,77346
303,77564
304,77856
305,78043
306,78374
307,78565
308,78948
309,79133
310,79451
311,79657
312,79935
313,80174
314,80438
315,80686
316,80972
317,81170
318,81459
319,81653
320,81962
321,82144
322,82428
323,82613
324,82764
325,83181
326,83371
327,83667
328,83909
329,84125
330,84351
331,84595
332,84845
333,85098
334,85321
335,85547
336,85791
337,85981
338,86230
339,86473
340,86694
341,86927
342,87160
343,87340
344,87666
345,87848
346,88135
347,88356
348,88572
349,88801
350,89037
351,89285
352,89549
353,89784
354,90008
355,90228
356,90463
357,90704
358,90940
359,91173
360,91408
361,91663
362,91898
363,92140
364,92383
365,92581
366,92834
367,93032
368,93287
369,93511
370,93818
371,94047
372,94292
373,94517
374,94736
375,94965
376,95196
377,95405
378,95676
379,95913
380,96152
381,96354
382,96637
383,96819
384,97073
385,97290
386,97511
387,97734
388,97983
389,98234
390,98471
391,98661
392,98907
393,99123
394,99361
395,99592
396,99832
397,99998
398,100289
399,100529
400,100748
401,100949
402,101213
403,101386
404,101648
405,101859
406,102083
407,102352
408,102593
409,102825
410,103032
411,103238
412,103452
413,103658
414,103878
415,104095
416,104336
417,104533
418,104786
419,105015
420,105251
421,105466
422,105681
423,105863
424,106085
425,106262
426,106528
427,106771
428,107015
429,107236
430,107453
431,107656
432,107867
433,108094
434,108321
435,108533
436,108779
437,109014
438,109245
439,109457
440,109682
441,109879
442,110122
443,110335
444,110542
445,110725
446,111000
447,111223
448,111479
449,111700
450,111902
451,112101
452,112306
453,112509
454,112736
455,112970
456,113206
457,113404
458,113637
459,113834
460,114093
461,114287
462,114521
463,114719
464,114932
465,115144
466,115376
467,115613
468,115839
469,116039
470,116262
471,116436
472,116662
473,116861
474,117121
475,117313
476,117579
477,117805
478,118017
479,118211
480,118444
481,118623
482,118881
483,119096
484,119325
485,119538
486,119785
487,120016
488,120253
489,120442
490,120673
491,120878
492,121097
493,121288
494,121547
495,121759
496,122042
497,122268
498,122484
499,122696
500,122942
501,123128
502,123390
503,123612
504,123838
505,124077
506,124322
507,124540
508,124787
509,124976
510,125222
511,125441
512,125684
513,125923
514,126168
515,126411
516,126641
517,126860
518,127078
519,127277
520,127542
521,127733
522,128008
523,128203
524,128489
525,128740
526,128982
527,129215
528,129418
529,129636
530,129870
531,130087
532,130339
533,130584
534,130842
535,131042
536,131284
537,131466
538,131754
539,131989
540,132235
541,132468
542,132704
543,132929
544,133096
545,133419
546,133618
547,133877
548,134111
549,134336
550,134598
551,134883
552,135131
553,135362
554,135583
555,135819
556,136034
557,136272
558,136520
559,136761
560,137014
561,137244
562,137479
563,137725
564,137949
565,138173
566,138393
567,138625
568,138868
569,139123
570,139382
571,139638
572,139878
573,140105
574,140332
575,140584
576,140802
577,141083
578,141242
579,141570
580,141772
581,142044
582,142226
583,142533
584,142740
585,142968
586,143161
587,143635
588,143828
589,143988
590,144408
591,144592
592,144926
593,145203
594,145484
595,145759
596,146010
597,146268
598,146441
599,146757
600,146939
601,147215
602,147402
603,147711
604,147918
605,148218
606,148475
607,148710
608,148928
609,149157
610,149407
611,149647
612,149900
613,150127
614,150372
615,150612
616,150849
617,151096
618,151344
619,151594
620,151845
621,152116
622,152399
623,152662
624,152921
625,153150
626,153339
627,153613
628,153826
629,154260
630,154459
631,154799
632,155010
633,155313
634,155505
635,155822
636,155997
637,156316
638,156519
639,156838
640,157023
641,157322
642,157512
643,157777
644,157959
645,158293
646,158494
647,158812
648,158991
649,159270
650,159455
651,159753
652,159922
653,160251
654,160514
655,160719
656,160919
657,161381
658,161560
659,161902
660,162159
661,162417
662,162690
663,162970
664,163235
665,163487
666,163720
667,163922
668,164221
669,164411
670,164731
671,164916
672,165245
673,165435
674,165751
675,165936
676,166243
677,166488
678,166729
679,167002
680,167285
681,167555
682,167745
683,168030
684,168223
685,168499
686,168687
687,169008
688,169197
689,169386
690,169729
691,169910
692,170275
693,170527
694,170755
695,171000
696,171266
697,171532
698,171814
699,172054
700,172342
701,172523
702,172857
703,173061
704,173434
705,173646
706,174029
707,174227
708,174598
709,174788
710,175150
711,175357
712,175698
713,175916
714,176300
715,176573
716,176799
717,177033
718,177272
719,177513
720,177774
721,178045
722,178259
723,178525
724,178762
725,178967
726,179258
727,179496
728,179740
729,179958
730,180257
731,180449
732,180767
733,180969
734,181259
735,181429
736,181721
737,181927
738,182272
739,182480
740,182786
741,183034
742,183208
743,183507
744,183703
745,184004
746,184208
747,184523
748,184730
749,185050
750,185236
751,185500
752,185739
753,185975
754,186212
755,186480
756,186770
757,186983
758,187277
759,187438
760,187827
761,188018
762,188366
763,188553
764,188879
765,189230
766,189521
767,189811
768,190080
769,190337
770,190620
771,190941
772,191236
773,191505
774,191772
775,192037
776,192299
777,192568
778,192852
779,193125
780,193381
781,193644
782,193920
783,194169
784,194418
785,194661
786,194918
787,195179
788,195468
789,195753
790,196001
791,196245
792,196485
793,196756
794,197026
795,197300
796,197544
797,197794
798,198044
799,198288
800,198537
801,198793
802,199039
803,199288
804,199566
805,199868
806,200130
807,200382
808,200624
809,200864
810,201097
811,201359
812,201651
813,201918
814,202181
815,202437
816,202649
817,202959
818,203152
819,203461
820,203662
821,203980
822,204189
823,204516
824,204740
825,205010
826,205185
827,205477
828,205688
829,206014
830,206225
831,206513
832,206697
833,206977
834,207163
835,207457
836,207653
837,207887
838,208194
839,208413
840,208730
841,208920
842,209212
843,209389
844,209652
845,209841
846,210162
847,210370
848,210703
849,210889
850,211174
851,211360
852,211666
853,211855
854,212176
855,212400
856,212660
857,212870
858,213203
859,213389
860,213716
861,213905
862,214195
863,214403
864,214780
865,215025
866,215324
867,215513
868,215806
869,215979
870,216300
871,216565
872,216810
873,217121
874,217288
875,217465
876,217895
877,218093
878,218379
879,218629
880,218881
881,219157
882,219376
883,219683
884,219865
885,220135
886,220311
887,220638
888,220847
889,221176
890,221367
891,221665
892,221859
893,222150
894,222393
895,222637
896,222869
897,223129
898,223379
899,223651
900,223910
901,224155
902,224379
903,224615
904,224850
905,225104
906,225382
907,225660
908,225894
909,226161
910,226356
911,226680
912,226859
913,227018
914,227195
915,227616
916,227842
917,228234
918,228427
919,228744
920,228976
921,229207
922,229464
923,229739
924,230010
925,230244
926,230480
927,230718
928,230906
929,231170
930,231363
931,231665
932,231889
933,232155
934,232377
935,232654
936,232889
937,233122
938,233316
939,233553
940,233752
941,234032
942,234243
943,234431
944,234778
945,234980
946,235218
947,235448
948,235696
949,235911
950,236194
951,236384
952,236661
953,236892
954,237121
955,237321
956,237584
957,237777
958,238021
959,238255
960,238514
961,238731
962,238899
963,239231
964,239454
965,239670
966,239854
967,240119
968,240320
969,240611
970,240856
971,241077
972,241267
973,241537
974,241771
975,241981
976,242167
977,242435
978,242684
979,242918
980,243128
981,243400
982,243583
983,243850
984,244056
985,244277
986,244486
987,244778
988,244984
989,245261
990,245489
991,245719
992,245897
993,246132
994,246320
995,246605
996,246853
997,247080
998,247300
999,247585
1000,247780
1001,248043
1002,248247
1003,248453
1004,248652
1005,248903
1006,249106
1007,249413
1008,249647
1009,249871
1010,250083
1011,250305
1012,250542
1013,250764
1014,250978
1015,251221
1016,251426
1017,251705
1018,251885
1019,252147
1020,252387
1021,252606
1022,252829
1023,253035
1024,253265
1025,253504
1026,253787
1027,254030
1028,254250
1029,254467
1030,254686
1031,254873
1032,255127
1033,255358
1034,255629
1035,255834
1036,256093
1037,256297
1038,256574
1039,256815
1040,257051
1041,257239
1042,257493
1043,257684
1044,257974
1045,258204
1046,258490
1047,258718
1048,258943
1049,259119
1050,259387
1051,259588
1052,259907
1053,260179
1054,260413
1055,260626
1056,260878
1057,261069
1058,261345
1059,261539
1060,261830
1061,262071
1062,262323
1063,262568
1064,262842
1065,263041
1066,263300
1067,263473
1068,263762
1069,264002
1070,264262
1071,264534
1072,264777
1073,265013
1074,265237
1075,265481
1076,265730
1077,265975
1078,266206
1079,266460
1080,266720
1081,266893
1082,267212
1083,267417
1084,267704
1085,267910
1086,268168
1087,268397
1088,268704
1089,268917
1090,269237
1091,269418
1092,269713
1093,269887
1094,270187
1095,270391
1096,270733
1097,270995
1098,271242
1099,271505
1100,271759
1101,271977
1102,272206
1103,272438
1104,272685
1105,272924
1106,273187
1107,273456
1108,273690
1109,273923
1110,274140
1111,274379
1112,274641
1113,274903
1114,275167
1115,275422
1116,275671
1117,275900
1118,276143
1119,276394
1120,276633
1121,276877
1122,277094
1123,277386
1124,277678
1125,277925
1126,278189
1127,278425
1128,278640
1129,278891
1130,279158
1131,279431
1132,279713
1133,279970
1134,280214
1135,280472
1136,280680
1137,280988
1138,281196
1139,281482
1140,281717
1141,281984
1142,282254
1143,282508
1144,282737
1145,282958
1146,283165
1147,283433
1148,283687
1149,283965
1150,284159
1151,284437
1152,284620
1153,284895
1154,285084
1155,285387
1156,285574
1157,285898
1158,286152
1159,286414
1160,286638
1161,286913
1162,287095
1163,287359
1164,287541
1165,287835
1166,288045
1167,288379
1168,288606
1169,288867
1170,289043
1171,289316
1172,289512
1173,289669
1174,290071
1175,290260
1176,290561
1177,290801
1178,291036
1179,291270
1180,291504
1181,291724
1182,291953
1183,292173
1184,292441
1185,292676
1186,292959
1187,293143
1188,293397
1189,293621
1190,293834
1191,294034
1192,294307
1193,294523
1194,294808
1195,295033
1196,295255
1197,295491
1198,295727
1199,295949
1200,296171
1201,296395
1202,296630
1203,296873
1204,297119
1205,297339
1206,297597
1207,297790
1208,298023
1209,298232
1210,298464
1211,298701
1212,298979
1213,299227
1214,299442
1215,299656
1216,299873
1217,300087
1218,300306
1219,300542
1220,300756
1221,300986
1222,301209
1223,301415
1224,301691
1225,301912
1226,302135
1227,302312
1228,302537
1229,302753
1230,302965
1231,303186
1232,303440
1233,303666
1234,303882
1235,304069
1236,304278
1237,304495
1238,304725
1239,304924
1240,305161
1241,305376
1242,305593
1243,305806
1244,306018
1245,306230
1246,306449
1247,306650
1248,306855
1249,307051
1250,307262
1251,307497
1252,307741
1253,307960
1254,308179
1255,308374
1256,308564
1257,308765
1258,308956
1259,309168
1260,309396
1261,309625
1262,309855
1263,310066
1264,310270
1265,310488
1266,310715
1267,310919
1268,311132
1269,311324
1270,311532
1271,311760
1272,311974
1273,312207
1274,312436
1275,312646
1276,312852
1277,313046
1278,313240
1279,313455
1280,313693
1281,313921
1282,314163
1283,314371
1284,314580
1285,314802
1286,314995
1287,315209
1288,315425
1289,315628
1290,315856
1291,316074
1292,316297
1293,316538
1294,316778
1295,316991
1296,317208
1297,317405
1298,317601
1299,317818
1300,318031
1301,318270
1302,318523
1303,318757
1304,318982
1305,319182
1306,319386
1307,319608
1308,319830
1309,320052
1310,320279
1311,320502
1312,320718
1313,320940
1314,321164
1315,321379
1316,321602
1317,321806
1318,322018
1319,322217
1320,322447
1321,322680
1322,322956
1323,323178
1324,323392
1325,323603
1326,323812
1327,323987
1328,324232
1329,324467
1330,324702
1331,324933
1332,325154
1333,325380
1334,325612
1335,325840
1336,326054
1337,326263
1338,326473
1339,326690
1340,326913
1341,327155
1342,327388
1343,327633
1344,327845
1345,328063
1346,328264
1347,328485
1348,328734
1349,328944
1350,329208
1351,329400
1352,329660
1353,329887
1354,330100
1355,330322
1356,330561
1357,330754
1358,331021
1359,331248
1360,331501
1361,331726
1362,332001
1363,332210
1364,332422
1365,332601
1366,332871
1367,333092
1368,333336
1369,333600
1370,333836
1371,334045
1372,334267
1373,334457
1374,334735
1375,334957
1376,335194
