,PVC
0,503
1,2488
2,4448
3,7709
4,8377
5,9052
6,9736
7,10421
8,11065
9,12999
10,13657
11,14325
12,14981
13,16908
14,17913
15,18921
16,19616
17,20628
18,21296
19,21970
20,25263
21,27883
22,29910
23,30575
24,31262
25,42126
26,45029
27,47325
28,47991
29,48699
30,50003
31,50985
32,52941
33,57173
34,58156
35,59136
36,59790
37,60753
38,62688
39,63716
40,64761
41,65776
42,66782
43,67458
44,68455
45,69119
46,69787
47,70478
48,71122
49,71799
50,74110
51,74799
52,76131
53,76807
54,77484
55,81823
56,83153
57,83825
58,85137
59,85798
60,86783
61,87769
62,88767
63,89502
64,90458
65,92450
66,94430
67,96400
68,98063
69,98724
70,100037
71,101343
72,102010
73,102684
74,103659
75,104621
76,105595
77,106221
78,106894
79,107575
80,108554
81,109531
82,110506
83,111488
84,112471
85,113127
86,115976
87,116654
88,117946
89,118930
90,119899
91,120867
92,121825
93,122773
94,124382
95,125033
96,130106
97,130763
98,132068
99,132722
100,133688
101,134647
102,135610
103,136583
104,137560
105,138521
106,142095
107,151738
108,153689
109,156944
110,157948
111,158948
112,159936
113,160904
114,161556
115,162828
116,165774
117,166450
118,167774
119,168441
120,169111
121,171052
122,173035
123,196309
124,198278
125,200273
126,202268
127,204559
128,205551
129,206562
130,207571
131,208572
132,209570
133,210242
134,211236
135,212224
136,213190
137,213845
138,214821
139,215773
140,216780
141,219734
142,220726
143,221387
144,223959
145,225930
146,227927
147,234120
148,235110
149,240969
150,241981
151,242968
152,244915
153,245912
154,247853
155,248842
156,254965
157,256934
158,258889
159,260842
160,263177
161,264172
162,265173
163,265852
164,267843
165,268520
166,269831
167,270497
168,272792
169,273789
170,274774
171,275765
172,276441
173,277111
174,278407
175,279398
176,280396
177,281395
178,282377
179,283035
180,283696
181,284403
182,286350
183,294140
184,296433
185,297112
186,298437
187,299123
188,300445
189,301452
190,302131
191,308013
192,312852
193,313846
194,318401
195,320401
196,323683
197,324372
198,325692
199,327016
200,328655
201,331940
202,334501
203,340786
204,341794
205,342784
206,343766
207,344762
208,345753
209,346716
210,347687
211,348354
212,349012
213,350938
214,352558
215,353236
216,354544
217,355209
218,358119
219,358817
220,366576
221,368200
222,368862
223,376077
224,376752
225,382920
226,383608
227,384310
228,387743
229,388778
230,389476
231,390156
232,391507
233,393879
234,394560
235,395251
236,398247
237,398919
238,399592
239,400599
240,402159
241,402709
242,403229
243,404236
244,406083
245,407692
246,408360
247,409038
248,409692
249,410350
250,412215
251,412856
252,413514
253,415042
254,415645
255,416283
256,416860
257,417487
258,419163
259,421066
260,422031
261,422978
262,423917
263,424842
264,425470
265,426098
266,426721
267,427330
268,428817
269,429444
270,430949
271,432457
272,433065
273,433950
274,435079
275,436205
276,437019
277,437597
278,438586
279,439472
280,440442
281,441485
282,443564
283,444256
284,444937
285,445617
286,447561
287,448552
288,449221
289,450193
290,451501
291,452153
292,452814
293,454160
294,455498
295,456180
296,457186
297,457857
298,458867
299,459886
300,460878
301,461872
302,462540
303,463169
304,465103
305,465823
306,466573
307,467261
308,467963
309,468638
310,469309
311,470626
312,471296
313,473324
314,474354
315,475723
316,476389
317,477075
318,478432
319,479106
320,479797
321,480467
322,481152
323,481818
324,482492
325,483142
326,489197
327,489907
328,490588
329,491266
330,492226
331,493169
332,493795
333,496008
334,496675
335,497349
336,498016
337,498692
338,499677
339,500317
340,501534
341,502162
342,503082
343,504050
344,504716
345,505383
346,506090
347,507146
348,508181
349,508879
350,509904
351,511251
352,511933
353,513286
354,513965
355,514987
356,516668
357,518722
358,519407
359,520423
360,521725
361,522380
362,523326
363,523958
364,525237
365,525931
366,526615
367,527606
368,528570
369,529526
370,530512
371,531492
372,532129
373,532789
374,534706
375,535400
376,536087
377,536781
378,537464
379,538109
380,538766
381,546159
382,546869
383,547564
384,548251
385,548927
386,549902
387,551191
388,551830
389,552445
390,553291
391,555142
392,555951
393,556520
394,557635
395,558231
396,559400
397,560661
398,562361
399,563753
400,566726
401,567327
402,568599
403,569225
404,570507
405,571153
406,572333
407,573790
408,574388
409,575566
410,577364
411,578045
412,579062
413,580061
414,581130
415,581847
416,582911
417,583617
418,586014
419,586717
420,588365
421,589011
422,590905
423,595936
424,596951
425,599286
426,601384
427,602113
428,603163
429,605214
430,606211
431,610445
432,611113
433,612760
434,613432
435,614098
436,615427
437,616468
438,617516
439,633123
440,633803
441,638625
442,640952
443,645749
