,PVC
0,225
1,689
2,1147
3,1610
4,2072
5,2506
6,2989
7,3484
8,6285
9,6718
10,7260
11,7455
12,8074
13,8577
14,8726
15,9384
16,12364
17,12900
18,13052
19,13733
20,14538
21,15085
22,15595
23,16385
24,16880
25,17338
26,17860
27,18383
28,19128
29,19606
30,20099
31,20641
32,21120
33,21574
34,22057
35,25313
36,25795
37,25993
38,26595
39,27109
40,27652
41,28203
42,28747
43,29311
44,30286
45,30788
46,31323
47,31793
48,32286
49,32770
50,36087
51,36629
52,37184
53,37789
54,38319
55,38810
56,39319
57,39484
58,39791
59,40377
60,40889
61,41355
62,41928
63,42730
64,43212
65,43722
66,44261
67,44756
68,45245
69,45759
70,46270
71,47027
72,47544
73,48043
74,63633
75,63859
76,64395
77,64628
78,65114
79,65638
80,66173
81,66647
82,67155
83,67668
84,68191
85,68701
86,69212
87,69754
88,70307
89,70798
90,71261
91,71819
92,72320
93,72805
94,73309
95,73788
96,74282
97,77564
98,78043
99,78565
100,79133
101,79657
102,80686
103,81170
104,81653
105,82144
106,82613
107,82764
108,83371
109,87340
110,87848
111,92581
112,93511
113,94047
114,95405
115,96354
116,96819
117,98661
118,98907
119,99998
120,100949
121,101386
122,104095
123,104533
124,105863
125,106262
126,108533
127,109879
128,110725
129,111223
130,112970
131,113404
132,113834
133,114287
134,115144
135,116039
136,116436
137,116861
138,117313
139,118211
140,118623
141,120016
142,120442
143,121288
144,121759
145,123128
146,124540
147,124976
148,126860
149,127277
150,127733
151,128203
152,131042
153,131466
154,133096
155,133618
156,141242
157,141772
158,142226
159,142740
160,143161
161,143828
162,143988
163,144592
164,146441
165,146939
166,147402
167,147918
168,153826
169,154459
170,155010
171,155505
172,155997
173,156519
174,157023
175,157512
176,157959
177,158494
178,158991
179,159455
180,159922
181,160919
182,161560
183,163922
184,164411
185,164916
186,165435
187,165936
188,167745
189,168223
190,168687
191,169197
192,169386
193,169910
194,172523
195,173061
196,173646
197,174227
198,174788
199,175357
200,175916
201,178259
202,178967
203,179958
204,180449
205,180969
206,181429
207,181927
208,182480
209,183208
210,183703
211,184208
212,184730
213,185236
214,187438
215,188018
216,188553
217,202649
218,203152
219,203662
220,204189
221,204740
222,205185
223,205688
224,206225
225,206697
226,207163
227,207653
228,207887
229,208413
230,208920
231,209389
232,209841
233,210370
234,210889
235,211360
236,211855
237,212400
238,212870
239,213389
240,213905
241,214403
242,215025
243,215513
244,215979
245,216565
246,216810
247,217288
248,217465
249,218093
250,219376
251,219865
252,220311
253,220847
254,221367
255,221859
256,226356
257,226859
258,227018
259,227195
260,227842
261,228427
262,230906
263,231363
264,231889
265,232377
266,233316
267,233752
268,234243
269,234431
270,234980
271,235911
272,236384
273,237321
274,237777
275,238731
276,238899
277,239854
278,240320
279,241267
280,242167
281,243128
282,243583
283,244486
284,244984
285,245897
286,246320
287,247300
288,247780
289,248652
290,249106
291,251426
292,251885
293,255358
294,255834
295,256297
296,257239
297,257684
298,258204
299,259119
300,259588
301,261069
302,261539
303,263041
304,263473
305,266893
306,267417
307,267910
308,268917
309,269418
310,269887
311,270391
312,280680
313,281196
314,281717
315,283687
316,284159
317,284620
318,285084
319,285574
320,286638
321,287095
322,287541
323,288045
324,289043
325,289512
326,289669
327,290260
328,292173
329,292676
330,293143
331,294034
332,294523
333,297339
334,297790
335,298701
336,298979
337,301415
338,302312
339,303186
340,304069
341,304924
342,305806
343,315628
344,322680
345,323987
346,329400
347,330754
348,331726
349,332601
350,334457
351,337263
352,337753
353,338281
354,340435
355,340610
356,340959
357,341142
358,342308
359,342834
360,345189
361,345642
362,346118
363,346609
364,347121
365,348038
366,348534
367,349032
368,349495
369,349970
370,350933
371,351406
372,351884
373,352331
374,352624
375,354285
376,354801
377,355295
378,355800
379,356550
380,357052
381,357572
382,358124
383,358600
384,360605
385,361074
386,361226
387,361822
388,362339
389,362761
390,363232
391,363738
392,364258
393,364704
394,365204
395,365686
396,366195
397,366666
398,367142
399,367578
400,368134
401,368639
402,369103
403,369557
404,370081
405,370586
406,371102
407,371587
408,372074
409,372612
410,373132
411,373273
412,373898
413,374584
414,379898
415,380487
416,381119
417,381717
418,382304
419,382803
420,383451
421,383952
422,384439
423,384946
424,385515
425,385684
426,386288
427,386805
428,387307
429,387844
430,388365
431,388834
432,389384
433,389941
434,390455
435,390947
436,391483
437,392027
438,392599
439,393102
440,393656
441,394234
442,394763
443,394913
444,395557
445,396126
446,396325
447,396468
448,396585
449,397091
450,397718
451,398314
452,398647
453,399221
454,399754
455,400371
456,400987
457,401553
458,402030
459,402556
460,402724
461,403357
462,403844
463,404331
464,404899
465,405648
466,406130
467,406620
468,407075
469,407653
470,408148
471,408325
472,408537
473,409157
474,409703
475,410177
476,410689
477,411227
478,411739
479,412237
480,412726
481,413236
482,413807
483,413979
484,414539
485,416868
486,417346
487,417497
488,418178
489,418782
490,419280
491,420113
492,420614
493,421085
494,421602
495,422128
496,422677
497,422877
498,423427
499,423946
500,424496
501,425022
502,425487
503,426037
504,426214
505,426822
506,427328
507,427809
508,428291
509,428850
510,429359
511,429791
512,430325
513,430881
514,431386
515,431555
516,432138
517,432619
518,433113
519,433656
520,434142
521,434634
522,435219
523,435713
524,436189
525,436696
526,437194
527,437710
528,438200
529,438649
530,439135
531,439679
532,440179
533,440643
534,441146
535,441678
536,442199
537,442675
538,443183
539,443684
540,444241
541,444715
542,445164
543,445692
544,446215
545,446688
546,447177
547,447669
548,448165
549,448666
550,449142
551,449589
552,450140
553,450639
554,451104
555,451577
556,452076
557,452578
558,453097
559,453545
560,454032
561,454510
562,455064
563,455547
564,456072
565,456605
566,457129
567,457616
568,458125
569,458605
570,459210
571,459722
572,460188
573,460342
574,461003
575,462593
576,463090
577,463603
578,463797
579,464323
580,464784
581,465312
582,465816
583,466278
584,466727
585,467229
586,467724
587,468230
588,468708
589,469162
590,469678
591,470201
592,470660
593,471133
594,471678
595,472164
