,R
0,136
1,410
2,697
3,989
4,1305
5,1614
6,1911
7,2201
8,2489
9,2781
10,3072
11,3373
12,3692
13,3998
14,4289
15,4579
16,4866
17,5164
18,5466
19,5768
20,6084
21,6380
22,6665
23,6951
24,7242
25,7549
26,7857
27,8159
28,8473
29,8763
30,9043
31,9333
32,9630
33,9940
34,10245
35,10543
36,10845
37,11152
38,11414
39,11710
40,12018
41,12330
42,12632
43,12926
44,13223
45,13511
46,13797
47,14098
48,14408
49,14718
50,15013
51,15301
52,15620
53,15890
54,16183
55,16492
56,16803
57,17108
58,17393
59,17680
60,17979
61,18274
62,18573
63,18879
64,19184
65,19480
66,19765
67,20055
68,20359
69,20663
70,20965
71,21268
72,21567
73,21857
74,22143
75,22434
76,22744
77,23050
78,23350
79,23647
80,23944
81,24234
82,24522
83,24825
84,25138
85,25441
86,25737
87,26024
88,26317
89,26607
90,26899
91,27245
92,27522
93,27821
94,28113
95,28407
96,28701
97,28990
98,29276
99,29582
100,29880
101,30161
102,30440
103,30716
104,30999
105,31289
106,31586
107,31882
108,32180
109,32466
110,32734
111,33010
112,33297
113,33595
114,33883
115,34058
116,34375
117,34667
118,34950
119,35238
120,35536
121,35848
122,36153
123,36452
124,36755
125,37043
126,37326
127,37637
128,37927
129,38240
130,38540
131,38824
132,39116
133,39401
134,39683
135,39977
136,40280
137,40589
138,40880
139,41157
140,41449
141,41732
142,42014
143,42316
144,42616
145,42916
146,43203
147,43481
148,43767
149,44056
150,44351
151,44650
152,44945
153,45244
154,45521
155,45799
156,46088
157,46380
158,46679
159,46978
160,47268
161,47561
162,47841
163,48116
164,48405
165,48709
166,49004
167,49293
168,49579
169,49858
170,50143
171,50419
172,50701
173,51013
174,51313
175,51597
176,51882
177,52161
178,52441
179,52724
180,53012
181,53318
182,53615
183,53893
184,54174
185,54451
186,54733
187,55019
188,55315
189,55618
190,55911
191,56192
192,56469
193,56743
194,57035
195,57329
196,57621
197,57922
198,58215
199,58491
200,58766
201,59044
202,59336
203,59638
204,59933
205,60224
206,60515
207,60791
208,61062
209,61349
210,61647
211,61947
212,62242
213,62531
214,62825
215,63114
216,63399
217,63698
218,64010
219,64322
220,64620
221,64907
222,65204
223,65494
224,65781
225,66085
226,66396
227,66702
228,66990
229,67280
230,67578
231,67872
232,68172
233,68479
234,68788
235,69084
236,69367
237,69656
238,69954
239,70253
240,70557
241,70861
242,71164
243,71457
244,71743
245,72036
246,72343
247,72668
248,72950
249,73248
250,73544
251,73832
252,74118
253,74418
254,74730
255,75033
256,75333
257,75627
258,75920
259,76210
260,76500
261,76810
262,77120
263,77420
264,77714
265,78001
266,78294
267,78585
268,78884
269,79200
270,79508
271,79804
272,80094
273,80380
274,80678
275,80976
276,81278
277,81592
278,81895
279,82179
280,82466
281,82756
282,83061
283,83366
284,83669
285,83983
286,84278
287,84559
288,84848
289,85142
290,85452
291,85756
292,86055
293,86359
294,86650
295,86933
296,87227
297,87531
298,87846
299,88150
300,88443
301,88741
302,89029
303,89314
304,89612
305,89919
306,90233
307,90529
308,90815
309,91114
310,91406
311,91697
312,92004
313,92310
314,92619
315,92908
316,93190
317,93489
318,93782
319,94079
320,94386
321,94692
322,94992
323,95280
324,95566
325,95868
326,96171
327,96472
328,96775
329,97077
330,97368
331,97653
332,97941
333,98249
334,98559
335,98856
336,99155
337,99473
338,99743
339,100029
340,100328
341,100641
342,100945
343,101242
344,101533
345,101824
346,102113
347,102404
348,102712
349,103025
350,103327
351,103622
352,103910
353,104203
354,104496
355,104795
356,105106
357,105415
358,105709
359,105995
360,106281
361,106578
362,106880
363,107184
364,107497
365,107802
366,108088
367,108373
368,108663
369,108964
370,109268
371,109571
372,109881
373,110174
374,110457
375,110748
376,111042
377,111355
378,111662
379,111962
380,112265
381,112555
382,112838
383,113130
384,113430
385,113745
386,114050
387,114341
388,114639
389,114931
390,115235
391,115535
392,115841
393,116139
394,116437
395,116721
396,117018
397,117309
398,117600
399,117906
400,118214
401,118521
402,118811
403,119095
404,119416
405,119691
406,119992
407,120298
408,120603
409,120904
410,121189
411,121471
412,121773
413,122075
414,122380
415,122684
416,122983
417,123281
418,123586
419,123853
420,124163
421,124469
422,124767
423,125066
424,125357
425,125648
426,125935
427,126229
428,126546
429,126853
430,127150
431,127444
432,127735
433,128025
434,128317
435,128621
436,128935
437,129239
438,129528
439,129814
440,130106
441,130401
442,130701
443,131011
444,131325
445,131623
446,131907
447,132192
448,132487
449,132787
450,133089
451,133399
452,133706
453,133992
454,134276
455,134566
456,134868
457,135176
458,135479
459,135787
460,136084
461,136366
462,136653
463,136945
464,137254
465,137563
466,137886
467,138164
468,138456
469,138742
470,139033
471,139336
472,139653
473,139958
474,140251
475,140546
476,140857
477,141120
478,141417
479,141724
480,142036
481,142336
482,142623
483,142920
484,143211
485,143505
486,143812
487,144119
488,144428
489,144718
490,145001
491,145297
492,145592
493,145891
494,146201
495,146506
496,146831
497,147098
498,147380
499,147683
500,147987
501,148288
502,148594
503,148892
504,149186
505,149470
506,149755
507,150066
508,150375
509,150677
510,150978
511,151271
512,151564
513,151849
514,152142
515,152458
516,152765
517,153062
518,153353
519,153640
520,153934
521,154226
522,154528
523,154848
524,155153
525,155444
526,155730
527,156020
528,156317
529,156615
530,156921
531,157257
532,157532
533,157813
534,158099
535,158394
536,158696
537,159002
538,159310
539,159618
540,159905
541,160188
542,160476
543,160779
544,161084
545,161387
546,161694
547,161990
548,162276
549,162563
550,162857
551,163170
552,163478
553,163777
554,164078
555,164370
556,164653
557,164942
558,165242
559,165556
560,165861
561,166153
562,166453
563,166745
564,167031
565,167331
566,167638
567,167949
568,168247
569,168532
570,168827
571,169118
572,169408
573,169715
574,170021
575,170332
576,170625
577,170908
578,171207
579,171503
580,171802
581,172109
582,172413
583,172716
584,173001
585,173283
586,173585
587,173887
588,174188
589,174495
590,174795
591,175090
592,175377
593,175662
594,175971
595,176277
596,176577
597,176878
598,177170
599,177461
600,177748
601,178041
602,178358
603,178667
604,178966
605,179260
606,179550
607,179842
608,180133
609,180434
610,180751
611,181056
612,181343
613,181631
614,181923
615,182217
616,182516
617,182828
618,183143
619,183440
620,183724
621,184010
622,184304
623,184603
624,184905
625,185215
626,185542
627,185810
628,186095
629,186384
630,186687
631,186995
632,187299
633,187606
634,187904
635,188206
636,188472
637,188763
638,189073
639,189382
640,189681
641,189984
642,190277
643,190561
644,190852
645,191155
646,191468
647,191773
648,192065
649,192362
650,192650
651,192934
652,193232
653,193539
654,193853
655,194152
656,194440
657,194737
658,195028
659,195320
660,195626
661,195933
662,196243
663,196534
664,196813
665,197111
666,197407
667,197704
668,198012
669,198318
670,198622
671,198908
672,199191
673,199494
674,199795
675,200096
676,200400
677,200700
678,200992
679,201277
680,201565
681,201873
682,202180
683,202482
684,202783
685,203079
686,203369
687,203656
688,203952
689,204265
690,204570
691,204868
692,205159
693,205452
694,205744
695,206035
696,206342
697,206658
698,206981
699,207253
700,207541
701,207743
702,208044
703,208339
704,208667
705,208960
706,209260
707,209546
708,209834
709,210127
710,210427
711,210730
712,211039
713,211349
714,211643
715,211925
716,212211
717,212509
718,212812
719,213117
720,213424
721,213729
722,214017
723,214301
724,214591
725,214899
726,215208
727,215509
728,215814
729,216108
730,216391
731,216678
732,216974
733,217286
734,217594
735,217892
736,218191
737,218483
738,218767
739,219063
740,219368
741,219680
742,219985
743,220274
744,220566
745,220856
746,221145
747,221448
748,221756
749,222070
750,222367
751,222651
752,222948
753,223240
754,223535
755,223842
756,224148
757,224451
758,224739
759,225020
760,225321
761,225619
762,225922
763,226231
764,226534
765,226831
766,227115
767,227399
768,227705
769,228009
770,228311
771,228614
772,228909
773,229201
774,229487
775,229776
776,230091
777,230402
778,230698
779,230994
780,231287
781,231579
782,231865
783,232163
784,232481
785,232785
786,233078
787,233366
788,233658
789,233951
790,234246
791,234556
792,234870
793,235169
794,235457
795,235762
796,236034
797,236331
798,236633
799,236942
800,237252
801,237544
802,237830
803,238118
804,238418
805,238725
806,239027
807,239337
808,239639
809,239942
810,240206
811,240496
812,240800
813,241108
814,241411
815,241717
816,242011
817,242295
818,242587
819,242884
820,243197
821,243503
822,243801
823,244099
824,244387
825,244672
826,244968
827,245272
828,245588
829,245893
830,246182
831,246479
832,246770
833,247057
834,247361
835,247667
836,247979
837,248273
838,248555
839,248854
840,249146
841,249441
842,249752
843,250059
844,250364
845,250672
846,250934
847,251235
848,251533
849,251833
850,252139
851,252441
852,252738
853,253022
854,253307
855,253614
856,253920
857,254246
858,254527
859,254823
860,255117
861,255401
862,255691
863,256003
864,256309
865,256606
866,256901
867,257193
868,257486
869,257774
870,258075
871,258393
872,258696
873,258990
874,259279
875,259571
876,259862
877,260155
878,260463
879,260776
880,261077
881,261367
882,261653
883,261949
884,262247
885,262548
886,262858
887,263168
888,263459
889,263743
890,264030
891,264329
892,264629
893,264931
894,265244
895,265546
896,265832
897,266121
898,266411
899,266717
900,267023
901,267323
902,267631
903,267922
904,268205
905,268494
906,268790
907,269104
908,269411
909,269710
910,270012
911,270302
912,270586
913,270881
914,271186
915,271500
916,271802
917,272091
918,272388
919,272677
920,272962
921,273265
922,273575
923,273886
924,274183
925,274468
926,274766
927,275075
928,275349
929,275656
930,275963
931,276268
932,276555
933,276839
934,277139
935,277437
936,277762
937,278047
938,278355
939,278651
940,278935
941,279221
942,279526
943,279830
944,280129
945,280432
946,280731
947,281022
948,281326
949,281602
950,281915
951,282221
952,282521
953,282818
954,283111
955,283398
956,283685
957,283988
958,284300
959,284605
960,284902
961,285191
962,285486
963,285777
964,286071
965,286384
966,286695
967,286993
968,287283
969,287590
970,287864
971,288159
972,288457
973,288771
974,289079
975,289370
976,289659
977,289948
978,290246
979,290549
980,290849
981,291164
982,291462
983,291744
984,292033
985,292323
986,292628
987,292933
988,293235
989,293547
990,293839
991,294123
992,294413
993,294710
994,295022
995,295326
996,295623
997,295927
998,296215
999,296495
1000,296808
1001,297096
1002,297410
1003,297711
1004,298006
1005,298305
1006,298592
1007,298876
1008,299177
1009,299487
1010,299794
1011,300089
1012,300378
1013,300673
1014,300962
1015,301256
1016,301565
1017,301878
1018,302180
1019,302470
1020,302759
1021,303053
1022,303348
1023,303649
1024,303955
1025,304265
1026,304559
1027,304842
1028,305137
1029,305436
1030,305737
1031,306044
1032,306347
1033,306649
1034,306936
1035,307218
1036,307517
1037,307821
1038,308123
1039,308430
1040,308727
1041,309023
1042,309312
1043,309597
1044,309907
1045,310218
1046,310519
1047,310820
1048,311109
1049,311402
1050,311690
1051,311980
1052,312297
1053,312607
1054,312904
1055,313198
1056,313488
1057,313784
1058,314075
1059,314375
1060,314694
1061,314998
1062,315288
1063,315575
1064,315862
1065,316158
1066,316457
1067,316761
1068,317079
1069,317377
1070,317661
1071,317950
1072,318241
1073,318546
1074,318851
1075,319155
1076,319465
1077,319754
1078,320034
1079,320322
1080,320622
1081,320934
1082,321240
1083,321544
1084,321844
1085,322131
1086,322411
1087,322705
1088,323015
1089,323322
1090,323623
1091,323922
1092,324214
1093,324497
1094,324787
1095,325090
1096,325407
1097,325713
1098,326006
1099,326301
1100,326591
1101,326878
1102,327177
1103,327482
1104,327796
1105,328095
1106,328378
1107,328673
1108,328969
1109,329262
1110,329570
1111,329877
1112,330187
1113,330477
1114,330757
1115,331055
1116,331352
1117,331651
1118,331957
1119,332262
1120,332563
1121,332848
1122,333133
1123,333436
1124,333740
1125,334043
1126,334347
1127,334643
1128,334938
1129,335244
1130,335510
1131,335819
1132,336126
1133,336428
1134,336728
1135,337020
1136,337317
1137,337604
1138,337899
1139,338216
1140,338521
1141,338815
1142,339107
1143,339396
1144,339686
1145,339979
1146,340283
1147,340598
1148,340902
1149,341195
1150,341503
1151,341777
1152,342070
1153,342370
1154,342680
1155,342990
1156,343286
1157,343571
1158,343856
1159,344153
1160,344454
1161,344759
1162,345070
1163,345378
1164,345665
1165,345951
1166,346238
1167,346542
1168,346847
1169,347148
1170,347459
1171,347754
1172,348056
1173,348325
1174,348619
1175,348931
1176,349238
1177,349537
1178,349843
1179,350132
1180,350414
1181,350706
1182,351009
1183,351321
1184,351625
1185,351917
1186,352214
1187,352505
1188,352792
1189,353092
1190,353402
1191,353717
1192,354044
1193,354298
1194,354596
1195,354885
1196,355176
1197,355480
1198,355787
1199,356125
1200,356384
1201,356670
1202,356968
1203,357263
1204,357562
1205,357870
1206,358175
1207,358475
1208,358760
1209,359046
1210,359345
1211,359646
1212,359948
1213,360252
1214,360556
1215,360849
1216,361135
1217,361426
1218,361734
1219,362041
1220,362340
1221,362638
1222,362935
1223,363222
1224,363507
1225,363807
1226,364119
1227,364424
1228,364724
1229,365017
1230,365312
1231,365600
1232,365889
1233,366200
1234,366509
1235,366809
1236,367104
1237,367390
1238,367683
1239,367975
1240,368272
1241,368588
1242,368898
1243,369192
1244,369483
1245,369770
1246,370067
1247,370365
1248,370667
1249,370982
1250,371285
1251,371567
1252,371886
1253,372145
1254,372447
1255,372752
1256,373055
1257,373371
1258,373664
1259,373946
1260,374234
1261,374529
1262,374839
1263,375142
1264,375442
1265,375748
1266,376037
1267,376320
1268,376613
1269,376917
1270,377233
1271,377536
1272,377829
1273,378129
1274,378417
1275,378699
1276,378998
1277,379306
1278,379618
1279,379914
1280,380203
1281,380502
1282,380793
1283,381083
1284,381411
1285,381701
1286,382006
1287,382295
1288,382583
1289,382878
1290,383170
1291,383469
1292,383774
1293,384084
1294,384383
1295,384670
1296,384960
1297,385259
1298,385558
1299,385863
1300,386165
1301,386493
1302,386761
1303,387043
1304,387338
1305,387640
1306,387943
1307,388249
1308,388550
1309,388848
1310,389136
1311,389419
1312,389724
1313,390032
1314,390333
1315,390637
1316,390930
1317,391222
1318,391508
1319,391796
1320,392109
1321,392420
1322,392722
1323,393020
1324,393309
1325,393602
1326,393891
1327,394187
1328,394505
1329,394812
1330,395104
1331,395391
1332,395678
1333,395975
1334,396270
1335,396575
1336,396895
1337,397197
1338,397481
1339,397767
1340,398057
1341,398357
1342,398659
1343,398964
1344,399277
1345,399569
1346,399851
1347,400137
1348,400435
1349,400744
1350,401053
1351,401357
1352,401660
1353,401947
1354,402228
1355,402518
1356,402825
1357,403135
1358,403436
1359,403737
1360,404032
1361,404318
1362,404605
1363,404904
1364,405217
1365,405525
1366,405822
1367,406118
1368,406408
1369,406692
1370,406988
1371,407292
1372,407605
1373,407930
1374,408199
1375,408494
1376,408785
1377,409076
1378,409382
1379,409689
1380,409999
1381,410295
1382,410577
1383,410871
1384,411166
1385,411462
1386,411770
1387,412077
1388,412383
1389,412671
1390,412954
1391,413255
1392,413555
1393,413857
1394,414164
1395,414464
1396,414789
1397,415042
1398,415327
1399,415634
1400,415940
1401,416244
1402,416569
1403,416844
1404,417137
1405,417423
1406,417713
1407,418028
1408,418334
1409,418632
1410,418926
1411,419216
1412,419509
1413,419798
1414,420098
1415,420417
1416,420721
1417,421013
1418,421302
1419,421594
1420,421885
1421,422181
1422,422490
1423,422802
1424,423099
1425,423387
1426,423673
1427,423969
1428,424267
1429,424569
1430,424882
1431,425190
1432,425480
1433,425766
1434,426052
1435,426351
1436,426656
1437,426956
1438,427267
1439,427568
1440,427852
1441,428140
1442,428433
1443,428741
1444,429048
1445,429346
1446,429655
1447,429947
1448,430229
1449,430518
1450,430817
1451,431128
1452,431432
1453,431728
1454,432051
1455,432319
1456,432605
1457,432900
1458,433207
1459,433521
1460,433822
1461,434112
1462,434428
1463,434695
1464,434983
1465,435286
1466,435595
1467,435907
1468,436202
1469,436489
1470,436787
1471,437077
1472,437370
1473,437677
1474,437984
1475,438286
1476,438573
1477,438860
1478,439157
1479,439454
1480,439756
1481,440064
1482,440372
1483,440665
1484,440951
1485,441243
1486,441543
1487,441848
1488,442151
1489,442452
1490,442752
1491,443040
1492,443355
1493,443621
1494,443932
1495,444238
1496,444541
1497,444837
1498,445133
1499,445420
1500,445706
1501,446015
1502,446325
1503,446625
1504,446923
1505,447213
1506,447505
1507,447795
1508,448089
1509,448405
1510,448716
1511,449013
1512,449304
1513,449591
1514,449905
1515,450179
1516,450479
1517,450830
1518,451101
1519,451390
1520,451677
1521,451966
1522,452268
1523,452570
1524,452873
1525,453189
1526,453485
1527,453767
1528,454052
1529,454344
1530,454648
1531,454953
1532,455256
1533,455565
1534,455873
1535,456136
1536,456427
1537,456729
1538,457039
1539,457344
1540,457646
1541,457973
1542,458227
1543,458512
1544,458806
1545,459118
1546,459427
1547,459728
1548,460026
1549,460319
1550,460605
1551,460896
1552,461199
1553,461513
1554,461816
1555,462107
1556,462403
1557,462693
1558,462980
1559,463280
1560,463588
1561,463900
1562,464199
1563,464484
1564,464781
1565,465073
1566,465365
1567,465672
1568,465978
1569,466285
1570,466575
1571,466857
1572,467155
1573,467452
1574,467753
1575,468062
1576,468367
1577,468669
1578,468955
1579,469238
1580,469541
1581,469844
1582,470143
1583,470446
1584,470745
1585,471037
1586,471323
1587,471613
1588,471923
1589,472230
1590,472532
1591,472831
1592,473124
1593,473434
1594,473701
1595,474000
1596,474313
1597,474618
1598,474916
1599,475206
1600,475498
1601,475811
1602,476084
1603,476392
1604,476709
1605,477010
1606,477299
1607,477586
1608,477879
1609,478171
1610,478470
1611,478783
1612,479093
1613,479386
1614,479674
1615,479963
1616,480261
1617,480562
1618,480865
1619,481178
1620,481479
1621,481764
1622,482051
1623,482341
1624,482644
1625,482948
1626,483250
1627,483562
1628,483856
1629,484140
1630,484430
1631,484726
1632,485039
1633,485343
1634,485640
1635,485946
1636,486233
1637,486514
1638,486805
1639,487110
1640,487421
1641,487725
1642,488020
1643,488320
1644,488607
1645,488891
1646,489189
1647,489502
1648,489809
1649,490105
1650,490395
1651,490689
1652,490977
1653,491271
1654,491576
1655,491891
1656,492196
1657,492484
1658,492774
1659,493068
1660,493360
1661,493662
1662,493968
1663,494278
1664,494572
1665,494853
1666,495148
1667,495446
1668,495746
1669,496077
1670,496360
1671,496663
1672,496949
1673,497232
1674,497530
1675,497832
1676,498135
1677,498441
1678,498740
1679,499036
1680,499322
1681,499608
1682,499917
1683,500225
1684,500529
1685,500830
1686,501121
1687,501415
1688,501700
1689,501991
1690,502306
1691,502613
1692,502909
1693,503204
1694,503494
1695,503787
1696,504078
1697,504380
1698,504697
1699,504999
1700,505325
1701,505580
1702,505870
1703,506164
1704,506461
1705,506768
1706,507081
1707,507381
1708,507668
1709,507954
1710,508163
1711,508461
1712,508761
1713,509064
1714,509378
1715,509675
1716,509956
1717,510242
1718,510537
