,R
0,197
1,459
2,708
3,965
4,1222
5,1479
6,1741
7,2015
8,2287
9,2550
10,2803
11,3052
12,3303
13,3563
14,3835
15,4102
16,4371
17,4635
18,4901
19,5154
20,5407
21,5561
22,5923
23,6195
24,6468
25,6736
26,6996
27,7246
28,7506
29,7767
30,7922
31,8290
32,8564
33,8829
34,9093
35,9350
36,9600
37,9845
38,10105
39,10380
40,10645
41,10908
42,11168
43,11424
44,11676
45,11931
46,12187
47,12449
48,12625
49,12987
50,13252
51,13507
52,13755
53,14006
54,14253
55,14517
56,14786
57,15053
58,15311
59,15575
60,15834
61,16084
62,16335
63,16590
64,16854
65,17128
66,17398
67,17660
68,17916
69,18168
70,18426
71,18682
72,18946
73,19213
74,19483
75,19747
76,20008
77,20262
78,20515
79,20764
80,21031
81,21202
82,21576
83,21838
84,22100
85,22351
86,22604
87,22860
88,23114
89,23376
90,23641
91,23916
92,24180
93,24429
94,24677
95,24842
96,25191
97,25462
98,25732
99,25997
100,26254
101,26516
102,26771
103,27020
104,27273
105,27529
106,27795
107,28066
108,28335
109,28590
110,28835
111,29089
112,29349
113,29605
114,29869
115,30137
116,30401
117,30662
118,30917
119,31165
120,31416
121,31669
122,31934
123,32207
124,32476
125,32735
126,32986
127,33234
128,33490
129,33749
130,34010
131,34274
132,34542
133,34818
134,35076
135,35322
136,35571
137,35830
138,36093
139,36366
140,36633
141,36793
142,37151
143,37413
144,37666
145,37915
146,38166
147,38430
148,38692
149,38959
150,39225
151,39477
152,39720
153,39975
154,40231
155,40489
156,40745
157,41009
158,41272
159,41527
160,41781
161,42027
162,42274
163,42524
164,42793
165,43058
166,43322
167,43573
168,43819
169,44061
170,44313
171,44567
172,44816
173,45075
174,45339
175,45608
176,45763
177,46102
178,46347
179,46594
180,46844
181,47107
182,47371
183,47635
184,47888
185,48140
186,48393
187,48643
188,48889
189,49144
190,49410
191,49678
192,49943
193,50198
194,50448
195,50692
196,50949
197,51207
198,51472
199,51736
200,52001
201,52257
202,52512
203,52769
204,53020
205,53271
206,53537
207,53815
208,54078
209,54333
210,54588
211,54837
212,55091
213,55349
214,55607
215,55873
216,56140
217,56413
218,56667
219,56918
220,57165
221,57314
222,57666
223,57941
224,58210
225,58473
226,58730
227,58985
228,59239
229,59493
230,59742
231,60003
232,60270
233,60543
234,60808
235,61062
236,61311
237,61559
238,61819
239,62081
240,62349
241,62609
242,62876
243,63129
244,63382
245,63635
246,63886
247,64135
248,64400
249,64674
250,64937
251,65187
252,65437
253,65686
254,65933
255,66189
256,66444
257,66706
258,66867
259,67228
260,67487
261,67736
262,67978
263,68225
264,68475
265,68740
266,69009
267,69269
268,69522
269,69772
270,70027
271,70273
272,70523
273,70780
274,71046
275,71311
276,71579
277,71831
278,72079
279,72326
280,72485
281,72846
282,73117
283,73378
284,73643
285,73903
286,74159
287,74299
288,74659
289,74917
290,75183
291,75459
292,75727
293,75983
294,76232
295,76484
296,76736
297,76996
298,77257
299,77526
300,77787
301,78055
302,78312
303,78561
304,78807
305,79062
306,79316
307,79584
308,79856
309,80120
310,80369
311,80624
312,80882
313,81130
314,81379
315,81641
316,81906
317,82171
318,82437
319,82690
320,82934
321,83182
322,83444
323,83703
324,83970
325,84231
326,84493
327,84746
328,85003
329,85257
330,85506
331,85760
332,86031
333,86305
334,86570
335,86821
336,87072
337,87318
338,87572
339,87832
340,88094
341,88365
342,88631
343,88901
344,89157
345,89408
346,89656
347,89912
348,90172
349,90444
350,90715
351,90981
352,91233
353,91486
354,91746
355,92000
356,92254
357,92522
358,92791
359,93060
360,93330
361,93583
362,93829
363,94084
364,94354
365,94619
366,94885
367,95156
368,95424
369,95681
370,95936
371,96189
372,96445
373,96707
374,96985
375,97256
