,R
0,282
1,561
2,837
3,1104
4,1369
5,1639
6,1909
7,2180
8,2447
9,2718
10,2987
11,3255
12,3529
13,3796
14,4067
15,4344
16,4614
17,4886
18,5164
19,5434
20,5706
21,5977
22,6254
23,6532
24,6802
25,7085
26,7360
27,7633
28,7910
29,8183
30,8457
31,8738
32,9010
33,9283
34,9561
35,9831
36,10101
37,10372
38,10643
39,10918
40,11188
41,11460
42,11734
43,12012
44,12283
45,12551
46,12825
47,13112
48,13387
49,13666
50,13950
51,14221
52,14497
53,14772
54,15045
55,15319
56,15590
57,15863
58,16137
59,16415
60,16686
61,16953
62,17229
63,17512
64,17789
65,18069
66,18351
67,18632
68,18913
69,19188
70,19469
71,19753
72,20026
73,20305
74,20588
75,20865
76,21145
77,21421
78,21699
79,21984
80,22263
81,22549
82,22825
83,23097
84,23379
85,23654
86,23930
87,24207
88,24481
89,24762
90,25043
91,25311
92,25591
93,25867
94,26150
95,26423
96,26697
97,26981
98,27254
99,27527
100,27802
101,28075
102,28355
103,28625
104,28895
105,29174
106,29446
107,29714
108,29987
109,30258
110,30538
111,30813
112,31084
113,31365
114,31643
115,31912
116,32186
117,32458
118,32738
119,33008
120,33281
121,33566
122,33843
123,34119
124,34397
125,34676
126,34958
127,35132
128,35516
129,35793
130,35967
131,36343
132,36617
133,36888
134,37168
135,37440
136,37719
137,37994
138,38265
139,38540
140,38813
141,39089
142,39368
143,39644
144,39925
145,40202
146,40481
147,40758
148,41032
149,41312
150,41593
151,41868
152,42145
153,42422
154,42693
155,42967
156,43241
157,43518
158,43802
159,44078
160,44359
161,44637
162,44910
163,45187
164,45461
165,45739
166,46019
167,46294
168,46579
169,46858
170,47134
171,47413
172,47690
173,47970
174,48251
175,48527
176,48802
177,49080
178,49352
179,49624
180,49898
181,50171
182,50444
183,50714
184,50997
185,51268
186,51535
187,51816
188,52083
189,52364
190,52643
191,52914
192,53197
193,53474
194,53644
195,54014
196,54288
197,54559
198,54831
199,55102
200,55378
201,55648
202,55916
203,56183
204,56463
205,56740
206,56930
207,57281
208,57559
209,57831
210,58094
211,58361
212,58629
213,58897
214,59162
215,59432
216,59707
217,59972
218,60239
219,60514
220,60780
221,61057
222,61331
223,61597
224,61875
225,62143
226,62408
227,62679
228,62948
229,63214
230,63485
231,63756
232,64031
233,64302
234,64567
235,64842
236,65111
237,65388
238,65660
239,65930
240,66210
241,66480
242,66748
243,67018
244,67288
245,67560
246,67833
247,68103
248,68381
249,68651
250,68916
251,69193
252,69461
253,69737
254,70010
255,70279
256,70558
257,70829
258,71098
259,71369
260,71637
261,71907
262,72181
263,72449
264,72718
265,72989
266,73258
267,73528
268,73791
269,74064
270,74339
271,74602
272,74774
273,75145
274,75417
275,75682
276,75950
277,76214
278,76487
279,76754
280,77017
281,77293
282,77560
283,77824
284,78090
285,78360
286,78630
287,78897
288,79163
289,79438
290,79704
291,79966
292,80238
293,80503
294,80768
295,81039
296,81304
297,81574
298,81844
299,82110
300,82377
301,82646
302,82913
303,83183
304,83448
305,83720
306,83989
307,84256
308,84523
309,84784
310,85052
311,85326
312,85592
313,85859
314,86133
315,86403
316,86669
317,86940
318,87209
319,87485
320,87753
321,88026
322,88301
323,88574
324,88845
325,89110
326,89384
327,89661
328,89932
329,90205
330,90482
331,90757
332,91031
333,91305
334,91579
335,91857
336,92129
337,92405
338,92679
339,92946
340,93220
341,93483
342,93750
343,94025
344,94290
345,94566
346,94753
347,95105
348,95381
349,95553
350,95920
351,96109
352,96469
353,96737
354,97009
355,97272
356,97542
357,97802
358,98070
359,98344
360,98610
361,98878
362,99151
363,99423
364,99699
365,99973
366,100251
367,100535
368,100815
369,101092
370,101376
371,101656
372,101932
373,102204
374,102483
375,102765
376,103037
377,103317
378,103596
379,103873
380,104152
381,104329
382,104693
383,104970
384,105238
385,105407
386,105773
387,106040
388,106300
389,106563
390,106822
391,107093
392,107356
393,107624
394,107905
395,108184
396,108462
397,108743
398,109023
399,109312
400,109589
401,109866
402,110153
403,110431
404,110699
405,110976
406,111249
407,111530
408,111805
409,112079
410,112361
411,112639
412,112913
413,113185
414,113457
415,113735
416,114003
417,114273
418,114547
419,114820
420,115084
421,115355
422,115632
423,115910
424,116183
425,116458
426,116737
427,117008
428,117283
429,117550
430,117816
431,118093
432,118357
433,118620
434,118894
435,119161
436,119423
437,119689
438,119954
439,120227
440,120494
441,120758
442,121030
443,121302
444,121570
445,121836
446,122105
447,122381
448,122645
449,122911
450,123185
451,123453
452,123714
453,123981
454,124249
455,124520
456,124787
457,125052
458,125328
459,125598
460,125781
461,126132
462,126399
463,126672
464,126935
465,127199
466,127472
467,127739
468,128002
469,128276
470,128546
471,128819
472,129093
473,129363
474,129639
475,129911
476,130180
477,130453
478,130721
479,130997
480,131273
481,131543
482,131820
483,132021
484,132355
485,132629
486,132898
487,133170
488,133441
489,133708
490,133985
491,134257
492,134525
493,134698
494,135063
495,135336
496,135609
497,135877
498,136148
499,136420
500,136688
501,136962
502,137226
503,137493
504,137771
505,138035
506,138303
507,138577
508,138849
509,139108
510,139375
511,139641
512,139912
513,140177
514,140442
515,140715
516,140895
517,141247
518,141517
519,141786
520,142061
521,142329
522,142598
523,142880
524,143153
525,143420
526,143693
527,143963
528,144238
529,144509
530,144776
531,145053
532,145317
533,145578
534,145845
535,146109
536,146377
537,146644
538,146907
539,147178
540,147447
541,147706
542,147979
543,148244
544,148514
545,148791
546,148981
547,149333
548,149604
549,149874
550,150063
551,150407
552,150680
553,150950
554,151217
555,151493
556,151766
557,152031
558,152303
559,152569
560,152748
561,153107
562,153374
563,153643
564,153822
565,154166
566,154433
567,154693
568,154955
569,155226
570,155488
571,155762
572,156041
573,156312
574,156504
575,156854
576,157120
577,157394
578,157660
579,157922
580,158189
581,158455
582,158715
583,158976
584,159239
585,159509
586,159766
587,160031
588,160304
589,160568
590,160828
591,161093
592,161353
593,161617
594,161883
595,162140
596,162409
597,162672
598,162932
599,163198
600,163464
601,163734
602,164002
603,164269
604,164541
605,164810
606,164994
607,165338
608,165600
609,165859
610,166127
611,166383
612,166640
613,166907
614,167169
615,167425
616,167689
617,167950
618,168133
619,168479
620,168744
621,169014
622,169276
623,169534
624,169740
625,170058
626,170319
627,170588
628,170840
629,171100
630,171366
631,171625
632,171883
633,172145
634,172408
635,172674
636,172939
637,173204
638,173392
639,173742
640,174004
641,174268
642,174528
643,174797
644,175060
645,175320
646,175588
647,175853
648,176113
649,176381
650,176559
651,176907
652,177179
653,177442
654,177711
655,177977
656,178243
657,178507
658,178702
659,179034
660,179306
661,179565
662,179827
663,180097
664,180357
665,180622
666,180886
667,181147
668,181336
669,181686
670,181952
671,182224
672,182496
673,182760
674,183029
675,183302
676,183485
677,183852
678,184124
679,184408
680,184593
681,184950
682,185223
683,185493
684,185768
685,186040
686,186312
687,186585
688,186859
689,187122
690,187388
691,187658
692,187931
693,188193
694,188456
695,188730
696,188996
697,189260
698,189527
699,189791
700,190064
701,190332
702,190510
703,190870
704,191139
705,191398
706,191662
707,191923
708,192195
709,192456
710,192717
711,192990
712,193255
713,193513
714,193783
715,194048
716,194311
717,194585
718,194850
719,195118
720,195388
721,195655
722,195847
723,196182
724,196454
725,196718
726,196982
727,197245
728,197513
729,197779
730,198043
731,198307
732,198569
733,198842
734,199108
735,199374
736,199557
737,199914
738,200175
739,200443
740,200707
741,200972
742,201235
743,201498
744,201768
745,202032
746,202298
747,202570
748,202836
749,203109
750,203384
751,203655
752,203836
753,204207
754,204480
755,204757
756,205030
757,205303
758,205485
759,205853
760,206137
761,206349
762,206688
763,206965
764,207237
765,207513
766,207791
767,208065
768,208350
769,208526
770,208898
771,209179
772,209456
773,209636
774,210004
775,210278
776,210555
777,210744
778,211094
779,211364
780,211633
781,211909
782,212175
783,212439
784,212716
785,212977
786,213236
787,213418
788,213764
789,214029
790,214293
791,214553
792,214822
793,215086
794,215344
795,215526
796,215870
797,216140
798,216407
799,216672
800,216942
801,217212
802,217479
803,217660
804,218031
805,218313
806,218527
807,218661
808,219051
809,219340
810,219623
811,219806
812,220176
813,220465
814,220751
815,220932
816,221315
817,221594
818,221865
819,222042
820,222413
821,222687
822,222962
823,223236
824,223521
825,223801
826,224080
827,224370
828,224653
829,224947
830,225232
831,225517
832,225809
833,226089
834,226365
835,226646
836,226913
837,227192
838,227460
839,227723
840,228000
841,228269
842,228532
843,228802
844,229074
845,229265
846,229621
847,229890
848,230167
849,230437
850,230699
851,230970
852,231235
853,231514
854,231789
855,232060
856,232347
857,232525
858,232901
859,233182
860,233465
861,233651
862,234026
863,234307
864,234592
865,234873
866,235146
867,235427
868,235707
869,236000
870,236278
871,236564
872,236857
873,237140
874,237420
875,237700
876,237976
877,238260
878,238538
879,238814
880,239090
881,239272
882,239638
883,239910
884,240186
885,240461
886,240731
887,241013
888,241285
889,241557
890,241835
891,242111
892,242391
893,242670
894,242850
895,243223
896,243497
897,243768
898,244043
899,244309
900,244490
901,244850
902,245117
903,245391
904,245659
905,245921
906,246192
907,246462
908,246736
909,247013
910,247287
911,247563
912,247842
913,248113
914,248387
915,248662
916,248841
917,249208
918,249482
919,249765
920,250035
921,250303
922,250580
923,250853
924,251137
925,251412
926,251589
927,251959
928,252235
929,252499
930,252771
931,253040
932,253313
933,253586
934,253857
935,254141
936,254419
937,254693
938,254975
939,255257
940,255549
941,255828
942,256110
943,256400
944,256683
945,256964
946,257243
947,257524
948,257809
949,258088
950,258372
951,258652
952,258933
953,259212
954,259487
955,259664
956,260049
957,260324
958,260601
959,260882
960,261156
961,261334
962,261705
963,261978
964,262260
965,262534
966,262812
967,262990
968,263364
969,263645
970,263920
971,264106
972,264479
973,264756
974,265041
975,265318
976,265592
977,265875
978,266159
979,266445
980,266737
981,267028
982,267321
983,267612
984,267904
985,268188
986,268477
987,268771
988,269050
989,269334
990,269623
991,269899
992,270182
993,270463
994,270745
995,271029
996,271311
997,271600
998,271883
999,272166
1000,272451
1001,272739
1002,273033
1003,273240
1004,273593
1005,273885
1006,274166
1007,274441
1008,274719
1009,274999
1010,275283
1011,275564
1012,275852
1013,276134
1014,276413
1015,276702
1016,276983
1017,277274
1018,277556
1019,277831
1020,278124
1021,278407
1022,278680
1023,278961
1024,279241
1025,279527
1026,279804
1027,280084
1028,280364
1029,280643
1030,280920
1031,281190
1032,281471
1033,281753
1034,282022
1035,282192
1036,282573
1037,282842
1038,283118
1039,283388
1040,283655
1041,283930
1042,284204
1043,284473
1044,284748
1045,285022
1046,285297
1047,285570
1048,285851
1049,286132
1050,286406
1051,286691
1052,286969
1053,287145
1054,287522
1055,287796
1056,288069
1057,288351
1058,288629
1059,288905
1060,289190
1061,289470
1062,289748
1063,290032
1064,290317
1065,290599
1066,290878
1067,291167
1068,291449
1069,291724
1070,292009
1071,292287
1072,292567
1073,292850
1074,293131
1075,293420
1076,293703
1077,293982
1078,294268
1079,294552
1080,294840
1081,295120
1082,295400
1083,295687
1084,295970
1085,296244
1086,296520
1087,296797
1088,297082
1089,297357
1090,297636
1091,297918
1092,298199
1093,298480
1094,298760
1095,298940
1096,299280
1097,299568
1098,299754
1099,300132
1100,300409
1101,300689
1102,300963
1103,301242
1104,301525
1105,301802
1106,302092
1107,302281
1108,302646
1109,302933
1110,303212
1111,303497
1112,303775
1113,304054
1114,304338
1115,304621
1116,304899
1117,305175
1118,305457
1119,305742
1120,306021
1121,306308
1122,306596
1123,306874
1124,307162
1125,307449
1126,307733
1127,308017
1128,308300
1129,308585
1130,308868
1131,309143
1132,309418
1133,309695
1134,309979
1135,310253
1136,310525
1137,310810
1138,311084
1139,311355
1140,311633
1141,311905
1142,312184
1143,312455
1144,312728
1145,313003
1146,313276
1147,313546
1148,313812
1149,314082
1150,314359
1151,314628
1152,314894
1153,315174
1154,315448
1155,315716
1156,315994
1157,316272
1158,316554
1159,316830
1160,317107
1161,317389
1162,317668
1163,317945
1164,318219
1165,318497
1166,318784
1167,319059
1168,319339
1169,319624
1170,319904
1171,320183
1172,320463
1173,320743
1174,321027
1175,321306
1176,321587
1177,321871
1178,322147
1179,322425
1180,322698
1181,322977
1182,323255
1183,323526
1184,323804
1185,324078
1186,324352
1187,324630
1188,324903
1189,325181
1190,325458
1191,325731
1192,326010
1193,326288
1194,326558
1195,326829
1196,327104
1197,327381
1198,327658
1199,327932
1200,328216
1201,328493
1202,328766
1203,329051
1204,329326
1205,329606
1206,329886
1207,330158
1208,330448
1209,330728
1210,331004
1211,331283
1212,331563
1213,331846
1214,332121
1215,332402
1216,332685
1217,332966
1218,333249
1219,333522
1220,333802
1221,334080
1222,334352
1223,334629
1224,334906
1225,335176
1226,335449
1227,335725
1228,336000
1229,336278
1230,336554
1231,336841
1232,337123
1233,337398
1234,337689
1235,337968
1236,338254
1237,338535
1238,338810
1239,339096
1240,339377
1241,339648
1242,339923
1243,340202
1244,340482
1245,340755
1246,341035
1247,341312
1248,341588
1249,341763
1250,342130
1251,342407
1252,342684
1253,342952
1254,343221
1255,343496
1256,343764
1257,343942
1258,344291
1259,344558
1260,344830
1261,345094
1262,345361
1263,345630
1264,345902
1265,346172
1266,346441
1267,346712
1268,346992
1269,347264
1270,347534
1271,347817
1272,348086
1273,348352
1274,348626
1275,348901
1276,349180
